code,short_name,provider,history_start_date,currency,type,style,factor,asset_class,region,return_type,inception_date,index_source,return_category,,,,,,
MQCP778E,Macquarie Commodity Risk Premium 10X,Macquarie,2009/8/28,USD,Strategy,Alpha,Multi,Commodity,Global,Excess Return,2020/10/22,Macquarie Bank Limited,-,,,,,,
NMCOLN1,Nomura Nickel 1st to Expire Futures,Nomura,1997/9/8,USD,Strategy,Beta,Multi,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Gross,,,,,,
NMCOTBO1,Nomura Soybean Oil 1st to Expire Trend,Nomura,1971/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTHO1,Nomura Heating Oil 1st to Expire Trend,Nomura,1981/2/6,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTQS1,Nomura Gas Oil 1st to Expire Trend,Nomura,1985/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
code,period,Return p.a.,Cumulative Return,Volatility,Sharpe Ratio,Skew,Kurtosis,Calmar Ratio,Omega Ratio,Sortino Ratio,VaR,MVaR,CVaR,Avg Drawdown,Max Drawdown,Worst 20D,Positive Weeks (%),Positive Months (%),Info Ratio
MQCP778E,10Y,0.2398,7.5981,0.1056,2.2705,-0.0622,7.9809,1.6332,1.4264,3.1339,0.0089,0.0092,0.0141,-0.0159,-0.1468,-0.5541,0.6054,0.7686,2.2705
MQCP778E,1Y,0.0343,0.0343,0.1295,0.2649,0.2108,5.1272,0.2337,1.0449,0.3891,0.0117,0.012,0.0179,-0.0302,-0.1468,-0.3107,0.4528,0.5385,0.2649
MQCP778E,3Y,0.2564,0.9871,0.1443,1.7769,-0.01,6.2247,1.7462,1.3315,2.4232,0.0118,0.013,0.0198,-0.0249,-0.1468,-0.5215,0.535,0.7027,1.7769
MQCP778E,5Y,0.2245,1.7543,0.1211,1.854,0.0107,8.3715,1.5287,1.3566,2.4993,0.0098,0.0105,0.0164,-0.0189,-0.1468,-0.5253,0.5441,0.7377,1.854
MQCP778E,6M,0.0363,0.0179,0.1573,0.2306,0.2859,4.1478,0.247,1.0388,0.3507,0.0129,0.0146,0.022,-0.036,-0.1468,-0.2829,0.4444,0.5714,0.2306
NMCOLN1,10Y,0.0461,0.5704,0.3296,0.14,4.95,126.8462,0.0711,1.0264,0.2148,0.0275,0,0.0425,-0.3469,-0.649,-1.5422,0.5,0.5207,0.14
NMCOLN1,1Y,1.0326,1.0326,0.6515,1.5851,6.4025,81.0948,2.4837,1.3425,2.5531,0.0329,0,0.0727,-0.0482,-0.4158,-1.1651,0.5849,0.9231,1.5851
NMCOLN1,3Y,0.3611,1.5279,0.4334,0.8332,7.2762,139.5955,0.8685,1.1798,1.3193,0.0289,0,0.0504,-0.1328,-0.4158,-1.3398,0.5478,0.7027,0.8332
NMCOLN1,5Y,0.2532,2.093,0.3772,0.6713,6.6421,146.7455,0.609,1.134,1.0554,0.0281,0,0.0456,-0.1387,-0.4158,-1.4013,0.5364,0.6066,0.6713
NMCOLN1,6M,2.45,0.8543,0.8892,2.7554,5.0226,46.1661,5.8929,1.4822,4.406,0.0507,0,0.1063,-0.0643,-0.4158,-1.0771,0.5926,1,2.7554
NMCOTBO1,10Y,0.0411,0.4957,0.2505,0.1639,-0.2435,3.9429,0.0675,1.0298,0.2105,0.0258,0.0257,0.0389,-0.3082,-0.6082,-1.2986,0.5134,0.5124,0.1639
NMCOTBO1,1Y,0.4557,0.4557,0.3259,1.3982,-0.473,4.2768,1.9021,1.2309,1.7464,0.0353,0.0334,0.0501,-0.0902,-0.2396,-0.8654,0.566,0.7692,1.3982
NMCOTBO1,3Y,0.3957,1.7235,0.3169,1.2485,-0.1547,2.5999,1.3347,1.2024,1.7038,0.0323,0.0315,0.0457,-0.1282,-0.2964,-1.1054,0.5732,0.6757,1.2485
NMCOTBO1,5Y,0.188,1.3676,0.2723,0.6905,-0.1016,3.5695,0.5013,1.1207,0.9268,0.0263,0.0269,0.0399,-0.1678,-0.375,-1.1178,0.5496,0.5902,0.6905
NMCOTBO1,6M,0.2535,0.1193,0.271,0.9356,0.2606,4.1945,2.3739,1.1748,1.1798,0.0325,0.0246,0.0423,-0.0496,-0.1068,-0.5192,0.5926,0.7143,0.9356
NMCOTHO1,10Y,0.1376,2.6343,0.2824,0.4874,-0.7707,30.637,0.2409,1.1093,0.548,0.0245,0.0216,0.0435,-0.2915,-0.5712,-1.8194,0.5019,0.4545,0.4874
NMCOTHO1,1Y,0.8592,0.8592,0.4988,1.7225,-2.0091,21.8012,2.9695,1.3096,1.6055,0.0362,0.0513,0.0773,-0.087,-0.2893,-1.2342,0.5849,0.7692,1.7225
NMCOTHO1,3Y,0.4101,1.8115,0.3756,1.0917,-1.0147,28.8972,1.4172,1.2397,1.1661,0.0288,0.0303,0.0563,-0.1178,-0.2893,-1.5305,0.5414,0.5946,1.0917
NMCOTHO1,5Y,0.1998,1.487,0.3255,0.6136,-0.9387,31.2919,0.5824,1.1303,0.6848,0.0269,0.0253,0.0483,-0.1609,-0.343,-1.5739,0.5326,0.5574,0.6136
NMCOTHO1,6M,0.9346,0.3896,0.6315,1.48,-1.8602,16.3032,3.2301,1.2687,1.3214,0.0445,0.0685,0.105,-0.1369,-0.2893,-1.0497,0.5556,0.7143,1.48
NMCOTQS1,10Y,0.152,3.1196,0.2713,0.56,-0.6544,17.6533,0.2768,1.1214,0.6395,0.0244,0.0246,0.0432,-0.2867,-0.5489,-1.7207,0.5115,0.4711,0.56
NMCOTQS1,1Y,0.9665,0.9665,0.4587,2.107,-1.6011,11.8613,3.8644,1.3341,2.1022,0.0377,0.05,0.0737,-0.075,-0.2501,-1.208,0.6226,0.8462,2.107
NMCOTQS1,3Y,0.3624,1.5352,0.3463,1.0466,-0.5962,16.6182,1.3443,1.2156,1.1878,0.029,0.0311,0.0517,-0.1286,-0.2696,-1.3945,0.535,0.6216,1.0466
NMCOTQS1,5Y,0.1955,1.4432,0.3078,0.6352,-0.5388,16.515,0.5426,1.1277,0.7427,0.029,0.0277,0.0467,-0.1634,-0.3603,-1.4376,0.5287,0.5574,0.6352
NMCOTQS1,6M,0.9694,0.402,0.5611,1.7277,-1.5866,9.7491,3.8758,1.2679,1.7195,0.0374,0.0631,0.1005,-0.113,-0.2501,-1.0363,0.5926,0.8571,1.7277
date,MQCP778E,NMCOLN1,NMCOTBO1,NMCOTHO1,NMCOTQS1,,,,,,,,,,,,,,
2000/1/4,,111.07,841.888,84.084,327.035,,,,,,,,,,,,,,
2000/1/5,,111.043,830.932,82.677,328.306,,,,,,,,,,,,,,
2000/1/6,,110.627,824.142,82.356,327.863,,,,,,,,,,,,,,
2000/1/7,,109.662,813.789,80.447,318.107,,,,,,,,,,,,,,
2000/1/10,,109.099,829.022,80.406,304.851,,,,,,,,,,,,,,
2000/1/11,,108.081,844.425,83.053,314.956,,,,,,,,,,,,,,
2000/1/12,,109.953,832.888,85.293,327.695,,,,,,,,,,,,,,
2000/1/13,,108.833,796.377,85.99,334.324,,,,,,,,,,,,,,
2000/1/14,,109.073,803.35,91.628,344.64,,,,,,,,,,,,,,
2000/1/18,,110.404,787.255,94.237,359.691,,,,,,,,,,,,,,
2000/1/19,,112.095,801.613,96.288,359.691,,,,,,,,,,,,,,
2000/1/20,,111.669,805.706,100.096,365.286,,,,,,,,,,,,,,
2000/1/21,,113.44,811.799,99.296,378.919,,,,,,,,,,,,,,
2000/1/24,,112.801,797.298,95.504,365.212,,,,,,,,,,,,,,
2000/1/25,,112.827,795.761,97.173,367.319,,,,,,,,,,,,,,
2000/1/26,,112.228,795.649,96.501,369.927,,,,,,,,,,,,,,
2000/1/27,,113.559,767.949,94.251,361.598,,,,,,,,,,,,,,
2000/1/28,,115.29,771.241,94.338,354.85,,,,,,,,,,,,,,
2000/1/31,,116.887,793.3,95.899,356.914,,,,,,,,,,,,,,
2000/2/1,,117.247,797.77,100.059,362.06,,,,,,,,,,,,,,
2000/2/2,,118.817,811.487,97.618,361.028,,,,,,,,,,,,,,
2000/2/3,,119.649,822.621,101.081,370.29,,,,,,,,,,,,,,
2000/2/4,,121.214,829.737,102.355,369.776,,,,,,,,,,,,,,
2000/2/7,,123.104,820.51,98.096,372.845,,,,,,,,,,,,,,
2000/2/8,,120.958,834.819,94.137,363.25,,,,,,,,,,,,,,
2000/2/9,,123.422,832.977,96.646,361.517,,,,,,,,,,,,,,
2000/2/10,,128.644,819.219,97.453,358.517,,,,,,,,,,,,,,
2000/2/11,,131.049,842.726,97.326,362.771,,,,,,,,,,,,,,
2000/2/14,,130.356,846.598,99.311,365.82,,,,,,,,,,,,,,
2000/2/15,,129.649,854.135,98.953,367.377,,,,,,,,,,,,,,
2000/2/16,,130.076,843.378,100.107,371.897,,,,,,,,,,,,,,
2000/2/17,,132.983,856.027,97.98,364.985,,,,,,,,,,,,,,
2000/2/18,,132.116,836.46,97.531,359.596,,,,,,,,,,,,,,
2000/2/22,,136.25,825.138,97.545,352.82,,,,,,,,,,,,,,
2000/2/23,,136.05,844.01,99.44,359.01,,,,,,,,,,,,,,
2000/2/24,,134.649,831.843,101.196,361.34,,,,,,,,,,,,,,
2000/2/25,,134.716,863.581,103.998,374.713,,,,,,,,,,,,,,
2000/2/28,,127.182,867.213,103.386,373.339,,,,,,,,,,,,,,
2000/2/29,,130.182,851.636,104.365,379.967,,,,,,,,,,,,,,
2000/3/1,,139.583,850.669,109.385,388.545,,,,,,,,,,,,,,
2000/3/2,,136.45,839.04,109.047,395.104,,,,,,,,,,,,,,
2000/3/3,,136.316,798.075,108.119,392.158,,,,,,,,,,,,,,
2000/3/6,,138.183,785.388,109.035,394.601,,,,,,,,,,,,,,
2000/3/7,,137.916,806.015,113.833,430.155,,,,,,,,,,,,,,
2000/3/8,,137.41,799.334,102.681,413.857,,,,,,,,,,,,,,
2000/3/9,,139.645,810.033,104.336,378.229,,,,,,,,,,,,,,
2000/3/10,,139.89,812.101,101.677,381.713,,,,,,,,,,,,,,
2000/3/13,,135.742,793.708,102.583,377.922,,,,,,,,,,,,,,
2000/3/14,,133.076,757.559,100.385,367.815,,,,,,,,,,,,,,
2000/3/15,,133.733,768.124,98.002,352.674,,,,,,,,,,,,,,
2000/3/16,,134.804,763.061,98.934,355.345,,,,,,,,,,,,,,
2000/3/17,,137.55,719.468,97.872,358.853,,,,,,,,,,,,,,
2000/3/20,,139.091,735.393,92.76,343.913,,,,,,,,,,,,,,
2000/3/21,,136.01,740.112,94.33,344.814,,,,,,,,,,,,,,
2000/3/22,,136.01,736.005,94.566,347.335,,,,,,,,,,,,,,
2000/3/23,,137.684,741.149,95.282,343.746,,,,,,,,,,,,,,
2000/3/24,,136.907,738.409,97.072,350.662,,,,,,,,,,,,,,
2000/3/27,,136.345,736.512,96.377,345.495,,,,,,,,,,,,,,
2000/3/28,,135.541,737.741,96.672,345.129,,,,,,,,,,,,,,
2000/3/29,,135.206,734.853,95.015,336.263,,,,,,,,,,,,,,
